id;start_date;end_date;language
1;2022-12-21T07:27:27;2022-12-21T05:17:42;ENGLISH
2;2022-12-20T16:55:02;2022-12-21T02:20:31;FRENCH
3;2022-12-21T02:51:14;2022-12-20T14:56:22;SPANISH
4;2022-12-21T07:22:03;2022-12-20T12:48:22;FRENCH
5;2022-12-21T09:38:26;2022-12-20T17:57:24;ENGLISH
6;2022-12-20T19:09:09;2022-12-21T09:09:29;SPANISH
7;2022-12-21T03:12:57;2022-12-20T13:47:06;FRENCH
8;2022-12-20T17:38:50;2022-12-20T14:14:39;FRENCH
9;2022-12-20T18:30:28;2022-12-21T06:01:54;FRENCH
10;2022-12-20T14:27:26;2022-12-21T07:24:55;FRENCH
